date,symbol,fiscalqtr,MarketCapBasic,TotalRevenue,CommonStock,NetIncome,TotalCurrentAssets,TotalCurrentLiabilities,TotalStockholdersEquity,EBIT,DebttoEquity,GrossMarginPctTTM,OperatingMarginPctTTM,BasicEPSNetIncome,PriceEarningsTTM,PriceEarningsFY,PriceBookFQ,ROA
2013-12-31 00:00:00.000000,A,Q4,21818650000.0,-1170000000.0,6000000.0,221000000.0,4983000000.0,1602000000.0,5286000000.0,-280000000.0,0.51059,0.5433,0.1893,0.66,114.4915,32.0896,4.825,0.04180855088914113
2013-12-31 00:00:00.000000,APD,Q4,36396503000.0,2586500000.0,249400000.0,137100000.0,3439100000.0,3227600000.0,7042100000.0,179200000.0,0.89087,0.2949,0.1831,0.64,12.8097,10.9898,3.5874,0.01946862441601227
2013-12-31 00:00:00.000000,AKAM,Q4,12232156700.0,435980000.0,1808000.0,80349000.0,1029714000.0,263166000.0,2629431000.0,115756000.0,0.0,0.6501,0.1263,0.45,56.5873,51.2126,3.7195,0.030557561693005064
2013-12-31 00:00:00.000000,ALK,Q4,8056767290.0,1210000000.0,1000000.0,78000000.0,1762000000.0,1580000000.0,2029000000.0,130000000.0,0.42928,0.6116,0.1588,0.57,7.8311,8.7616,2.1765,0.03844258255298177
2013-12-31 00:00:00.000000,ALB,Q4,10841843500.0,639635000.0,801000.0,155933000.0,1482915000.0,436363000.0,1627361000.0,227110000.0,0.66295,0.3613,0.1913,1.89,199.4898,261.0,2.9895,0.09581955079419993
2013-12-31 00:00:00.000000,ALXN,Q4,24142720000.0,441909000.0,20000.0,-18992000.0,2186857000.0,582429000.0,2382079000.0,138072000.0,0.06097,0.8721,0.1767,-0.11,54.7107,60.399,2.7269,-0.007972867398604328
2013-12-31 00:00:00.000000,ALGN,Q4,19786600950.0,178292000.0,8000.0,42421000.0,544676000.0,175338000.0,633970000.0,52922000.0,0.0,0.7581,0.24,0.53,87.3039,76.8824,17.5754,0.06691326087985236
2013-12-31 00:00:00.000000,AGN,Q4,52910638000.0,-3295800000.0,0.0,-148400000.0,4434700000.0,3294900000.0,9532100000.0,-179000000.0,0.96928,0.864,-0.3715,-0.7,-12.0174,-12.4018,0.7167,-0.01556844766630648
2013-12-31 00:00:00.000000,ADS,Q4,11596328000.0,1141087000.0,983000.0,117873000.0,10400842000.0,4512498000.0,855761000.0,249739000.0,8.63816,0.3019,0.2163,2.4,14.4658,17.8885,5.8255,0.1377405607406741
2013-12-31 00:00:00.000000,LNT,Q4,9541738000.0,832600000.0,1100000.0,68100000.0,1011200000.0,1433300000.0,3481400000.0,108600000.0,1.03858,0.3609,0.1932,0.59,20.8744,21.4121,2.1774,0.01956109611076004
2013-12-31 00:00:00.000000,GOOGL,Q4,742809680365.0,15707000000.0,25922000000.0,3189000000.0,72886000000.0,15908000000.0,87309000000.0,4429000000.0,0.06007,0.5888,0.2359,4.76,59.8511,57.6574,4.9614,0.03652544411229083
2013-12-31 00:00:00.000000,MO,Q4,109731343629.0,6080000000.0,935000000.0,488000000.0,6590000000.0,7058000000.0,4119000000.0,1799000000.0,3.5244,0.4673,0.3736,0.24,10.7778,13.4482,7.1361,0.11847535809662539
2013-12-31 00:00:00.000000,AMZN,Q4,733195200000.0,25587000000.0,5000000.0,240000000.0,24625000000.0,22980000000.0,9746000000.0,510000000.0,0.32742,0.3707,0.0231,0.52,248.3724,185.0427,27.1772,0.02462548737943772
2013-12-31 00:00:00.000000,AEE,Q4,13651102000.0,1322000000.0,2000000.0,38000000.0,1972000000.0,2461000000.0,6544000000.0,171000000.0,0.97891,0.4583,0.236,0.15,26.2944,27.3102,1.9127,0.005806845965770171
2013-12-31 00:00:00.000000,AAL,Q4,22883091920.0,7368000000.0,5000000.0,-2001000000.0,14323000000.0,13806000000.0,-2731000000.0,115000000.0,-6.15123,0.7372,0.0961,-7.21,11.9949,13.273,5.8587,0.7326986451849139
2013-12-31 00:00:00.000000,AEP,Q4,33669631007.0,3230000000.0,3303000000.0,347000000.0,4310000000.0,6112000000.0,16085000000.0,646000000.0,1.18956,0.5816,0.2168,0.71,17.6443,18.9126,1.8442,0.021572894000621696
2013-12-31 00:00:00.000000,AMT,Q4,58498088220.0,941969000.0,3976000.0,99982000.0,986087000.0,932663000.0,3534165000.0,292928000.0,4.09666,0.6914,0.2999,0.26,51.1685,53.0372,9.4492,0.028290133595913036
2013-12-31 00:00:00.000000,AWK,Q4,14893260000.0,706000000.0,1784000.0,59000000.0,571807000.0,1235533000.0,4727804000.0,218000000.0,1.23892,0.5895,0.3637,0.33,35.1555,38.2803,2.7812,0.012479366741937694
2013-12-31 00:00:00.000000,ABC,Q4,19620688010.0,24469040000.0,2678000.0,51023000.0,14393651000.0,14870635000.0,2319745000.0,114190000.0,0.60205,0.0297,0.0069,0.23,20.2867,49.5509,6.9037,0.02199508997756219
2013-12-31 00:00:00.000000,AME,Q4,17453660490.0,942468000.0,2581000.0,135668000.0,1369129000.0,874545000.0,3136121000.0,210545000.0,0.45122,0.3369,0.2128,0.56,25.7857,24.4831,4.3639,0.04325981044736475
2013-12-31 00:00:00.000000,AMGN,Q4,125410360000.0,5011000000.0,29891000000.0,1021000000.0,27367000000.0,7947000000.0,22096000000.0,1187000000.0,1.45402,0.8219,0.4365,1.35,63.777,64.1697,4.9957,0.046207458363504705
2013-12-31 00:00:00.000000,APH,Q4,26048697000.0,1245800000.0,300000.0,167900000.0,3157600000.0,1609900000.0,2859500000.0,241300000.0,0.74589,0.3295,0.2036,0.53,41.3641,41.2207,6.7595,0.05871655883895786
2013-12-31 00:00:00.000000,APC,Q4,36436520000.0,3338000000.0,52000000.0,-770000000.0,7108000000.0,5703000000.0,21857000000.0,215000000.0,0.62062,0.7083,-0.0564,-1.53,-78.2235,-63.1059,3.4066,-0.035228988424760944
2013-12-31 00:00:00.000000,ADI,Q4,33129787680.0,678133000.0,51842000.0,201554000.0,5472425000.0,570512000.0,4739576000.0,199862000.0,0.18403,0.6112,0.2117,0.65,42.9474,43.6411,3.2458,0.04252574491895478
2013-12-31 00:00:00.000000,ANSS,Q4,13919334640.0,236020000.0,932000.0,75929000.0,1067596000.0,440431000.0,2136246000.0,92252000.0,0.0,0.8629,0.3567,0.82,54.9597,48.3902,6.3339,0.03554319118678279
